"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact"
"2020-10","3-10","16-59","1-2","60+","Home",0
"2020-10","1-2","60+","1-2","60+","Home",272834.210196039
"2020-10","3-10","60+","1-2","60+","Home",0
"2020-10","1-2","16-59","3-10","60+","Home",0
"2020-10","3-10","16-59","3-10","60+","Home",3676926.71318757
"2020-10","1-2","60+","3-10","60+","Home",0
"2020-10","3-10","60+","3-10","60+","Home",1532422.13245002
"2020-10","1-2","16-59","1-2","16-59","Other",4475488.5834673
"2020-10","3-10","16-59","1-2","16-59","Other",5002578.03619691
"2020-10","1-2","60+","1-2","16-59","Other",697049.194865567
"2020-10","3-10","60+","1-2","16-59","Other",987877.119726619
"2020-10","1-2","16-59","3-10","16-59","Other",5034301.97570063
"2020-10","3-10","16-59","3-10","16-59","Other",32871201.9188081
"2020-10","1-2","60+","3-10","16-59","Other",779142.417045718
"2020-10","3-10","60+","3-10","16-59","Other",6450290.11573844
"2020-10","1-2","16-59","1-2","60+","Other",697049.194865567
"2020-10","3-10","16-59","1-2","60+","Other",779142.417045718
"2020-10","1-2","60+","1-2","60+","Other",253503.423490592
"2020-10","3-10","60+","1-2","60+","Other",359271.961984004
"2020-10","1-2","16-59","3-10","60+","Other",987877.119726619
"2020-10","3-10","16-59","3-10","60+","Other",6450290.11573844
"2020-10","1-2","60+","3-10","60+","Other",327548.022480292
"2020-10","3-10","60+","3-10","60+","Other",2711673.40605758
"2020-11","1-2","16-59","1-2","16-59","Home",3030491.54219731
"2020-11","3-10","16-59","1-2","16-59","Home",0
"2020-11","1-2","60+","1-2","16-59","Home",807094.877052283
"2020-11","3-10","60+","1-2","16-59","Home",0
"2020-11","1-2","16-59","3-10","16-59","Home",0
"2020-11","3-10","16-59","3-10","16-59","Home",10923323.2868124
"2020-11","1-2","60+","3-10","16-59","Home",0
"2020-11","3-10","60+","3-10","16-59","Home",3676926.71318757
"2020-11","1-2","16-59","1-2","60+","Home",807094.877052283
"2020-11","3-10","16-59","1-2","60+","Home",0
"2020-11","1-2","60+","1-2","60+","Home",272834.210196039
